player_id,sleeper_rank,bye_week,sleeper_proj_dollar
6371,1089,,1
6370,1090,,1
6365,1091,,1
6364,1092,,1
6363,1093,,1
6362,1094,,1
6361,1095,,1
6359,1096,,1
6358,1097,,1
6357,1098,,1
6352,1099,,1
6343,1100,,1
6342,1101,,1
6334,1102,,1
6323,1103,13,1
6322,1104,,1
6320,1105,,1
6318,1106,,1
6317,1107,,1
6311,1108,,1
6308,1109,,1
6298,1110,,1
6293,1111,,1
6290,1112,10,1
6288,1113,,1
6279,1114,,1
6271,1115,11,1
627,1116,,1
6269,1117,,1
6263,1118,,1
6261,1119,,1
6260,1120,,1
6259,1121,,1
6248,1122,,1
6247,1123,,1
6246,1124,,1
6239,1125,,1
6238,1126,,1
6237,1127,,1
6236,1128,,1
6234,1129,,1
6233,1130,,1
6231,1131,,1
6227,1132,,1
6223,1133,,1
6209,1134,,1
6205,1135,,1
6203,1136,,1
6202,1137,,1
6196,1138,,1
6195,1139,,1
6188,1140,,1
6187,1141,,1
6185,1142,13,1
6181,1143,,1
6178,1144,,1
6175,1145,11,1
6171,1146,,1
6168,1147,,1
6167,1148,6,1
6165,1149,,1
6164,1150,,1
6163,1151,,1
6161,1152,,1
616,1153,,1
6159,1154,,1
6156,1155,,1
6155,1156,,1
6154,1157,10,1
6153,1158,,1
6151,1159,,1
6149,1160,8,1
6148,1161,,1
6147,1162,8,1
6146,1163,,1
6144,1164,,1
6142,1165,,1
6139,1166,,1
6137,1167,,1
6136,1168,10,1
6130,1169,8,1
6126,1170,,1
6115,1171,,1
6111,1172,10,1
6109,1173,7,1
6108,1174,,1
6107,1175,,1
6097,1176,,1
6089,1177,,1
6088,1178,,1
6081,1179,,1
6075,1180,,1
6074,1181,,1
6072,1182,,1
6069,1183,,1
6068,1184,,1
6063,1185,,1
606,1186,,1
6059,1187,,1
6049,1188,,1
6047,1189,,1
6045,1190,,1
6040,1191,,1
6039,1192,7,1
6037,1193,,1
6036,1194,,1
6032,1195,,1
6031,1196,,1
6021,1197,,1
6019,1198,,1
6018,1199,,1
6017,1200,,1
6016,1201,9,1
6012,1202,9,1
6011,1203,14,1
6007,1204,,1
6002,1205,,1
6001,1206,6,1
5997,1207,,1
5995,1208,13,1
5987,1209,,1
5985,1210,8,1
5984,1211,,1
5980,1212,,1
5977,1213,,1
5976,1214,,1
5975,1215,,1
5974,1216,,1
5973,1217,6,1
5970,1218,6,1
5965,1219,,1
5962,1220,,1
5961,1221,,1
5957,1222,11,1
5955,1223,,1
5950,1224,,1
5941,1225,,1
5938,1226,10,1
5937,1227,,1
5929,1228,,1
5924,1229,,1
5919,1230,,1
5918,1231,,1
5917,1232,7,1
5916,1233,,1
5915,1234,,1
5911,1235,,1
5906,1236,7,1
5903,1237,,1
5902,1238,,1
5890,1239,,1
5889,1240,,1
5886,1241,10,1
5885,1242,,1
5884,1243,,1
5880,1244,,1
5878,1245,,1
5873,1246,,1
587,1247,,1
5863,1248,,1
5857,1249,8,1
5854,1250,11,1
5848,1251,10,1
5831,1252,,1
5828,1253,,1
5809,1254,,1
5808,1255,,1
5806,1256,,1
5804,1257,,1
5801,1258,,1
5800,1259,,1
5799,1260,,1
5798,1261,,1
5796,1262,,1
5791,1263,,1
5787,1264,,1
5786,1265,,1
5785,1266,,1
5781,1267,8,1
5777,1268,,1
5776,1269,,1
5775,1270,,1
5774,1271,,1
5773,1272,,1
5772,1273,,1
5762,1274,,1
5760,1275,,1
5756,1276,,1
5754,1277,,1
5752,1278,,1
5751,1279,,1
5750,1280,,1
5747,1281,,1
5745,1282,,1
5744,1283,8,1
574,1284,,1
5734,1285,,1
5733,1286,,1
5722,1287,,1
5718,1288,,1
5714,1289,,1
5710,1290,,1
5709,1291,,1
5705,1292,,1
5703,1293,,1
5700,1294,,1
5699,1295,,1
5697,1296,,1
5695,1297,,1
5663,1298,,1
5661,1299,,1
5638,1300,10,1
5637,1301,,1
5619,1302,,1
5618,1303,,1
5612,1304,,1
5609,1305,,1
5608,1306,,1
5597,1307,,1
5590,1308,,1
559,1309,,1
5587,1310,,1
5586,1311,,1
5570,1312,,1
5569,1313,,1
5566,1314,,1
5565,1315,,1
5560,1316,,1
5558,1317,,1
5550,1318,,1
5549,1319,,1
5548,1320,,1
5547,1321,,1
5539,1322,,1
5536,1323,,1
5530,1324,,1
5468,1325,,1
5465,1326,,1
5464,1327,,1
5463,1328,,1
5462,1329,,1
5432,1330,,1
5431,1331,,1
5428,1332,,1
5427,1333,,1
5425,1334,,1
5409,1335,6,1
5408,1336,,1
5407,1337,,1
5403,1338,,1
5401,1339,,1
5398,1340,,1
5395,1341,,1
5392,1342,,1
5385,1343,,1
5384,1344,,1
538,1345,,1
5374,1346,8,1
536,1347,,1
5359,1348,,1
5358,1349,,1
5355,1350,,1
5347,1351,,1
533,1352,,1
5323,1353,,1
5322,1354,,1
5310,1355,,1
5296,1356,,1
5295,1357,,1
5294,1358,,1
5293,1359,,1
5292,1360,,1
5290,1361,,1
5289,1362,,1
5286,1363,,1
5285,1364,,1
5284,1365,,1
5283,1366,,1
5278,1367,,1
5277,1368,,1
5276,1369,,1
5275,1370,,1
5273,1371,,1
5271,1372,,1
5269,1373,,1
5268,1374,,1
5265,1375,,1
5264,1376,,1
5263,1377,,1
5261,1378,,1
5260,1379,,1
5257,1380,,1
5255,1381,,1
5254,1382,,1
5253,1383,,1
5252,1384,,1
5250,1385,,1
5249,1386,,1
5248,1387,,1
5246,1388,,1
5245,1389,,1
